primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,0,3,0.0,0.0,128,1.9555000000000036e-05,1.1161600000000242e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,1.0,1.0,128,1.9549250000000036e-05,7.638217322834727e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,2.0,2.0,128,1.9046437500000034e-05,1.5751161811023588e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,3.0,3.0,128,1.8480125000000035e-05,1.3928716535433676e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,4.0,4.0,128,1.8021937500000038e-05,1.175233976377988e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,5.0,5.0,128,1.7840250000000036e-05,9.722853543307636e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,6.0,6.0,128,1.756437500000004e-05,1.180632283464592e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,7.0,7.0,128,1.7608125000000034e-05,9.252181102362365e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,8.0,8.0,128,1.713012500000004e-05,1.1846902362204775e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,9.0,9.0,128,1.6979937500000036e-05,1.222873661417342e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,10.0,10.0,128,1.6513250000000037e-05,1.168977007874013e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,11.0,11.0,128,1.625568750000004e-05,8.931517716535871e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,12.0,12.0,128,1.5986375000000035e-05,9.253629921259717e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,13.0,13.0,128,1.5904250000000033e-05,8.042727559055529e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,14.0,14.0,128,1.5593562500000037e-05,7.634046850393708e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,15.0,15.0,128,1.5155312500000035e-05,3.967246850393467e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,16.0,16.0,128,1.4985125000000037e-05,6.178744881889852e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,17.0,17.0,128,1.4681750000000036e-05,5.54602204724372e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,18.0,18.0,128,1.4570250000000037e-05,7.593014173228532e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,19.0,19.0,128,1.4361375000000037e-05,7.012496062992501e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,20.0,20.0,128,1.4230000000000037e-05,9.427451968503921e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,21.0,21.0,128,1.4082937500000037e-05,5.301605905511705e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,0,3,22.0,22.0,128,1.3538437500000035e-05,5.792308267717107e-14,0.0,0.0,0.0
