candidate_id,constant_current_code,error,held_out_validated,phi_nl_best_coordinate,phi_nl_best_sigma_s,phi_nl_best_signal_span_s,phi_nl_calibration_median_rt,phi_nl_calibration_minimum_sigma_s,phi_nl_held_out_median_rt,phi_nl_held_out_minimum_rt,phi_nl_held_out_validated,phi_np_best_coordinate,phi_np_best_sigma_s,phi_np_best_signal_span_s,phi_np_calibration_median_rt,phi_np_calibration_minimum_sigma_s,phi_np_held_out_median_rt,phi_np_held_out_minimum_rt,phi_np_held_out_validated,precharge_input_fan_in,precharge_weight_maximum,primitive,ramp_stop_s,run,selection_eligible,selection_objective_rt,status,threshold_code,validation_objective_rt
cc0024_th0600_stop850.00us_fanin01_w63,24,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,broad_current_threshold,,,failed,600,
cc0024_th0700_stop850.00us_fanin01_w63,24,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,broad_current_threshold,,,failed,700,
cc0024_th0800_stop850.00us_fanin01_w63,24,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,broad_current_threshold,,,failed,800,
cc0024_th0900_stop850.00us_fanin01_w63,24,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,broad_current_threshold,,,failed,900,
cc0024_th1000_stop850.00us_fanin01_w63,24,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,broad_current_threshold,,,failed,1000,
cc0032_th0600_stop645.00us_fanin01_w63,32,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000645,broad_current_threshold,,,failed,600,
cc0032_th0700_stop645.00us_fanin01_w63,32,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000645,broad_current_threshold,,,failed,700,
cc0032_th0800_stop645.00us_fanin01_w63,32,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000645,broad_current_threshold,,,failed,800,
cc0032_th0900_stop645.00us_fanin01_w63,32,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000645,broad_current_threshold,,,failed,900,
cc0032_th1000_stop645.00us_fanin01_w63,32,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000645,broad_current_threshold,,,failed,1000,
