condition,trial,sample,logical_neuron,replica,physical_coordinate,nominal_input_s,first_spike_s,fired,spike_count
ttfs_M1_local-pool_dedicated,0,0,0,0,0,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,1,0,128,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,5,0,129,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,6,0,257,2.4999999999999998e-05,3.0647999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,8,0,2,2.4999999999999998e-05,3.1768e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,9,0,130,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,11,0,386,2.4999999999999998e-05,3.197599999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,12,0,3,2.4999999999999998e-05,3.1088e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,13,0,131,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,14,0,259,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,15,0,387,2.4999999999999998e-05,3.0879999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,16,0,4,1.9999999999999998e-05,2.3727999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,17,0,132,2.4999999999999998e-05,3.2319999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,18,0,260,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,19,0,388,1.9999999999999998e-05,2.5111999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,20,0,5,2.2e-05,2.8743999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,21,0,133,2.1e-05,2.6255999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,22,0,261,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,0,23,0,389,1.9999999999999998e-05,2.5775999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,24,0,6,2.4999999999999998e-05,3.064e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,25,0,134,2.4999999999999998e-05,3.208e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,26,0,262,2.4999999999999998e-05,3.0303999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,27,0,390,2.4999999999999998e-05,2.9847999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,28,0,7,2.4999999999999998e-05,3.0223999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,0,29,0,135,2.4999999999999998e-05,2.9943999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,0,0,0,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,1,0,128,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,5,0,129,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,6,0,257,2.2e-05,2.7647999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,8,0,2,2.4999999999999998e-05,3.0912e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,9,0,130,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,11,0,386,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,12,0,3,2.4999999999999998e-05,3.0816e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,13,0,131,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,14,0,259,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,15,0,387,2.4999999999999998e-05,3.0487999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,16,0,4,2.2e-05,2.5551999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,17,0,132,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,18,0,260,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,19,0,388,2.2e-05,2.6679999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,20,0,5,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,21,0,133,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,22,0,261,2.4e-05,3.0879999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,23,0,389,2.4999999999999998e-05,3.0567999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,24,0,6,2.4999999999999998e-05,3.0343999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,25,0,134,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,1,26,0,262,2.4999999999999998e-05,3.0191999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,27,0,390,2.4999999999999998e-05,2.9655999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,28,0,7,2.4999999999999998e-05,3.0135999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,29,0,135,2.4999999999999998e-05,2.9791999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,0,0,0,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,1,0,128,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,5,0,129,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,6,0,257,2.4999999999999998e-05,3.0359999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,7,0,385,2.4999999999999998e-05,3.395999999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,8,0,2,2.4999999999999998e-05,3.0687999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,9,0,130,2.2e-05,,0,0
