condition,accuracy,nll,conversion_drop,hardware_drop,pool_size,pooling_domain,placement,mapping,trials,recovery_vs_m1,recovery_ci_low,recovery_ci_high,neuron_miss_rate,all_miss_rate,sample_any_all_miss_rate,oracle_valid_accuracy,latency_variance_s2,multi_spike_rate
float-ann,0.9739999771118164,0.08493419736623764,0.0,0.0,,,,,,,,,,,,,,
ideal-converted,0.949999988079071,0.22507278621196747,0.02399998903274536,0.0,,,,,,,,,,,,,,
ttfs_M1_local-pool_dedicated,0.46137499809265137,4.135769367218018,0.02399998903274536,0.4886249899864197,1,ttfs,local-pool,dedicated,8,0.0,0.0,0.0,0.4742875099182129,0.4742875099182129,1.0,,1.5823008506885975e-12,0.0
ttfs_M2_local-pool_dedicated,0.43137499690055847,4.190982341766357,0.02399998903274536,0.5186249911785126,2,ttfs,local-pool,dedicated,8,-0.030000001192092896,-0.04825625093653798,-0.01299687526188791,0.4683437645435333,0.37027081847190857,1.0,,1.6923934245325874e-12,0.0
ttfs_M4_local-pool_dedicated,0.500374972820282,3.6855881214141846,0.02399998903274536,0.44962501525878906,4,ttfs,local-pool,dedicated,8,0.038999974727630615,0.02274687453173101,0.054749999195337296,0.4450635313987732,0.2640416622161865,0.9908750057220459,0.30136987566947937,1.469769345365876e-12,1.0416666782475659e-06
ttfs_M8_local-pool_dedicated,0.4817500114440918,4.326513290405273,0.02399998903274536,0.46824997663497925,8,ttfs,local-pool,dedicated,8,0.02037501335144043,0.005246874934528023,0.03700937544927,0.4343380331993103,0.20313750207424164,0.9682499766349792,0.4921259880065918,1.6903125412871234e-12,3.6458334307098994e-06
ttfs_M16_local-pool_dedicated,0.5172500014305115,3.619189977645874,0.02399998903274536,0.43274998664855957,16,ttfs,local-pool,dedicated,8,0.05587500333786011,0.03837187634781003,0.07400312591344117,0.40438151359558105,0.13532917201519012,0.9039999842643738,0.50390625,1.761712269975239e-12,3.2812498830026016e-05
ttfs_M1_cross-quadrant_dedicated,0.41862499713897705,4.323787212371826,0.02399998903274536,0.531374990940094,1,ttfs,cross-quadrant,dedicated,8,0.0,0.0,0.0,0.5812875032424927,0.5812875032424927,1.0,,2.5328270465289253e-12,0.0
ttfs_M2_cross-quadrant_dedicated,0.4338749945163727,4.749792098999023,0.02399998903274536,0.5161249935626984,2,ttfs,cross-quadrant,dedicated,8,0.01524999737739563,-0.008893750282004474,0.039124999195337296,0.5692270994186401,0.4586583375930786,1.0,,2.6092330771847705e-12,1.6666666851961054e-05
ttfs_M4_cross-quadrant_dedicated,0.46149998903274536,3.704951524734497,0.02399998903274536,0.4884999990463257,4,ttfs,cross-quadrant,dedicated,8,0.04287499189376831,0.01600000075995922,0.07337500154972076,0.43920937180519104,0.2287375032901764,0.9434999823570251,0.3539822995662689,1.5002629247078255e-12,0.0
ttfs_M8_cross-quadrant_dedicated,0.5012500286102295,3.4953083992004395,0.02399998903274536,0.44874995946884155,8,ttfs,cross-quadrant,dedicated,8,0.08262503147125244,0.05435937531292439,0.10950937345623969,0.43278437852859497,0.17744582891464233,0.8616250157356262,0.35862693190574646,1.7602575604040893e-12,5.208333391237829e-07
ttfs_M16_cross-quadrant_dedicated,0.5051249861717224,3.2809934616088867,0.02399998903274536,0.44487500190734863,16,ttfs,cross-quadrant,dedicated,8,0.08649998903274536,0.058371875900775194,0.11451250109821556,0.4251059889793396,0.11560416966676712,0.684374988079071,0.43366336822509766,2.0191522216134624e-12,8.593749953433871e-06
