pool_size,placement,routing,estimator,evaluation_trials,valid_pools,all_miss_rate,neuron_miss_rate,multi_spike_rate,bias_s,mae_s,variance_s2,mean_pairwise_correlation
1,same-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.0,-6.518750000000009e-08,1.2080628551136364e-07,1.7232890191897638e-14,nan
1,same-quadrant,broadcast,mean,128,1408,0.0,0.0,0.0,-6.518750000000009e-08,1.2080628551136364e-07,1.7232890191897638e-14,nan
1,same-quadrant,broadcast,median,128,1408,0.0,0.0,0.0,-6.518750000000009e-08,1.2080628551136364e-07,1.7232890191897638e-14,nan
1,same-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.0,-6.518750000000009e-08,1.2080628551136364e-07,1.7232890191897638e-14,nan
2,same-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.0,3.186079545454509e-08,8.103524502840903e-08,9.163889279253079e-15,-0.01426520146806065
2,same-quadrant,broadcast,mean,128,1408,0.0,0.0,0.0,3.186079545454509e-08,8.103524502840903e-08,9.163889279253079e-15,-0.01426520146806065
2,same-quadrant,broadcast,median,128,1408,0.0,0.0,0.0,-3.184545454545458e-07,3.186606445312503e-07,1.3383863071008664e-14,-0.01426520146806065
2,same-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.0,-3.184545454545458e-07,3.186606445312503e-07,1.3383863071008664e-14,-0.01426520146806065
4,same-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.0,-3.498721590909038e-08,6.060802112926118e-08,4.460559915519825e-15,-0.025282448689049438
4,same-quadrant,broadcast,mean,128,1408,0.0,0.0,0.0,-3.498721590908952e-08,6.06080211292609e-08,4.460559915519829e-15,-0.025282448689049438
4,same-quadrant,broadcast,median,128,1408,0.0,0.0,0.0,-2.5706676136363507e-07,2.595874245383509e-07,1.726889752536019e-14,-0.025282448689049438
4,same-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.0,-4.873622159090895e-07,4.873622159090895e-07,1.1335233200878765e-14,-0.025282448689049438
8,same-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.06303267180919647,-1.573863636363652e-08,4.369712136008548e-08,2.7480431810105488e-15,0.04286049156605727
8,same-quadrant,broadcast,mean,128,1408,0.0,0.0,0.06303267180919647,-1.5738636363637474e-08,4.369712136008573e-08,2.748043181010547e-15,0.04286049156605727
8,same-quadrant,broadcast,median,128,1408,0.0,0.0,0.06303267180919647,-1.6374857954545558e-07,1.6848342063210316e-07,1.0018255794889213e-14,0.04286049156605727
8,same-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.06303267180919647,-8.217826704545464e-07,8.217826704545464e-07,1.0497821359921173e-14,0.04286049156605727
16,same-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.052157316356897354,1.7622869318183006e-08,2.980858265269918e-08,1.1107103554871656e-15,0.005017400595834122
16,same-quadrant,broadcast,mean,128,1408,0.0,0.0,0.052157316356897354,1.7622869318183387e-08,2.9808582652699295e-08,1.1107103554871634e-15,0.005017400595834122
16,same-quadrant,broadcast,median,128,1408,0.0,0.0,0.052157316356897354,-5.843678977272565e-08,8.73420743075278e-08,8.187284411697626e-15,0.005017400595834122
16,same-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.052157316356897354,-9.399367897727255e-07,9.399367897727255e-07,8.290613347376304e-15,0.005017400595834122
1,same-quadrant,independent,corrected-mean,128,1408,0.0,0.0,0.0,-1.3068181818181793e-07,1.4316592684659074e-07,1.1720065710409003e-14,nan
1,same-quadrant,independent,mean,128,1408,0.0,0.0,0.0,-1.3068181818181793e-07,1.4316592684659074e-07,1.1720065710409003e-14,nan
1,same-quadrant,independent,median,128,1408,0.0,0.0,0.0,-1.3068181818181793e-07,1.4316592684659074e-07,1.1720065710409003e-14,nan
1,same-quadrant,independent,earliest,128,1408,0.0,0.0,0.0,-1.3068181818181793e-07,1.4316592684659074e-07,1.1720065710409003e-14,nan
2,same-quadrant,independent,corrected-mean,128,1408,0.0,0.0,0.0,1.2946022727271847e-08,8.131400923295437e-08,1.0395236956451487e-14,-0.08279958777187502
2,same-quadrant,independent,mean,128,1408,0.0,0.0,0.0,1.2946022727271309e-08,8.131400923295434e-08,1.0395236956451515e-14,-0.08279958777187502
2,same-quadrant,independent,median,128,1408,0.0,0.0,0.0,-4.597386363636377e-07,4.597386363636377e-07,1.5201947454286966e-14,-0.08279958777187502
2,same-quadrant,independent,earliest,128,1408,0.0,0.0,0.0,-4.597386363636377e-07,4.597386363636377e-07,1.5201947454286966e-14,-0.08279958777187502
4,same-quadrant,independent,corrected-mean,128,1408,0.0,0.4282670319080353,0.0,5.4654871881153324e-08,4.171234128828256e-07,3.1959761931698885e-13,-0.09297841724894289
4,same-quadrant,independent,mean,128,1408,0.0,0.4282670319080353,0.0,4.1762667734396906e-08,4.395618686990581e-07,3.316594980013117e-13,-0.09297841724894289
4,same-quadrant,independent,median,128,1408,0.0,0.4282670319080353,0.0,-3.3756024893226973e-07,4.6760194568776957e-07,1.9657100547003347e-13,-0.09297841724894289
4,same-quadrant,independent,earliest,128,1408,0.0,0.4282670319080353,0.0,-5.318386580231787e-07,5.319460257678498e-07,3.345148405094285e-14,-0.09297841724894289
8,same-quadrant,independent,corrected-mean,128,1408,0.0,0.2573685944080353,0.0,-2.2429856469208392e-08,1.3439827980048543e-07,3.379421688634457e-14,0.003958795802759632
8,same-quadrant,independent,mean,128,1408,0.0,0.2573685944080353,0.0,-2.8895583663429912e-08,1.4408103644082382e-07,3.765454541783156e-14,0.003958795802759632
8,same-quadrant,independent,median,128,1408,0.0,0.2573685944080353,0.0,-5.336049451352915e-07,5.730633993646697e-07,1.2165722616310825e-13,0.003958795802759632
8,same-quadrant,independent,earliest,128,1408,0.0,0.2573685944080353,0.0,-1.5432185814989275e-06,1.5432185814989275e-06,1.1900531747350223e-14,0.003958795802759632
16,same-quadrant,independent,corrected-mean,128,1408,0.0,0.5096768736839294,0.0,2.1290161536447064e-07,2.9133136518395277e-07,9.825483816450516e-14,-0.007233919775289346
16,same-quadrant,independent,mean,128,1408,0.0,0.5096768736839294,0.0,5.481658973530035e-08,3.0653265161563436e-07,1.4420395363301854e-13,-0.007233919775289346
16,same-quadrant,independent,median,128,1408,0.0,0.5096768736839294,0.0,-3.5795429279126404e-07,4.5581293820638553e-07,1.713305306672447e-13,-0.007233919775289346
16,same-quadrant,independent,earliest,128,1408,0.0,0.5096768736839294,0.0,-1.7268463382458093e-06,1.7268463382458093e-06,2.508455109699206e-13,-0.007233919775289346
1,cross-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.0,8.757954545454629e-08,1.215279651988641e-07,1.546684938941656e-14,nan
1,cross-quadrant,broadcast,mean,128,1408,0.0,0.0,0.0,8.757954545454691e-08,1.215279651988644e-07,1.5466849389416555e-14,nan
