a_s2,c_s2,placement,routing,estimator,a_ci_low_s2,a_ci_high_s2,c_ci_low_s2,c_ci_high_s2
1.7015765329067873e-14,3.496095196198514e-16,same-quadrant,broadcast,corrected-mean,1.442705184576898e-14,1.9291632867827146e-14,-2.0816478766352474e-16,9.145988579042154e-16
1.701576532906788e-14,3.4960951961985026e-16,same-quadrant,broadcast,mean,,,,
7.56248920142556e-15,1.0287773633418267e-14,same-quadrant,broadcast,median,,,,
8.691798413812199e-15,8.780012348864283e-15,same-quadrant,broadcast,earliest,,,,
-1.314416732679386e-13,1.4568604379826604e-13,same-quadrant,independent,corrected-mean,-1.3919296946392183e-13,-1.2434297907703367e-13,1.3775352597817976e-13,1.5438875281428526e-13
-1.6173037363073704e-13,1.6979717972571508e-13,same-quadrant,independent,mean,,,,
-1.8194786795796523e-13,1.7380095392672802e-13,same-quadrant,independent,median,,,,
-1.3825290386180732e-13,1.1819690823303228e-13,same-quadrant,independent,earliest,,,,
1.5220165328665005e-14,2.7005172525012677e-15,cross-quadrant,broadcast,corrected-mean,1.3385375517836601e-14,1.7007633583309406e-14,2.1395839066266186e-15,3.1855994072370408e-15
1.522138888991003e-14,2.6996054640734873e-15,cross-quadrant,broadcast,mean,,,,
5.664707877040404e-15,1.1225566126196135e-14,cross-quadrant,broadcast,median,,,,
3.3490486820885295e-15,1.3151709958024882e-14,cross-quadrant,broadcast,earliest,,,,
7.98470059358404e-15,1.0824386960693321e-14,cross-quadrant,independent,corrected-mean,4.472837647359581e-15,1.1301014152108827e-14,9.818112425946481e-15,1.182112937114248e-14
-2.479338548057425e-15,2.0480981650991977e-14,cross-quadrant,independent,mean,,,,
-1.7183695599832136e-14,3.3804605326660974e-14,cross-quadrant,independent,median,,,,
-7.007796532105303e-15,2.4952738057871252e-14,cross-quadrant,independent,earliest,,,,
