condition,trial,sample,neuron,physical_coordinate,ideal_input_s,nominal_input_s,first_spike_s,fired,spike_count
M1_same-quadrant_broadcast,0,0,0,0,2.5e-05,2.4999999999999998e-05,2.8535999999999996e-05,1,1
M1_same-quadrant_broadcast,0,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8543999999999997e-05,1,1
M1_same-quadrant_broadcast,0,2,0,0,5e-06,4.9999999999999996e-06,8.567999999999998e-06,1,1
M1_same-quadrant_broadcast,1,0,0,0,2.5e-05,2.4999999999999998e-05,2.8663999999999995e-05,1,1
M1_same-quadrant_broadcast,1,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8391999999999996e-05,1,1
M1_same-quadrant_broadcast,1,2,0,0,5e-06,4.9999999999999996e-06,8.543999999999998e-06,1,1
M1_same-quadrant_broadcast,2,0,0,0,2.5e-05,2.4999999999999998e-05,2.8575999999999995e-05,1,1
M1_same-quadrant_broadcast,2,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8367999999999998e-05,1,1
M1_same-quadrant_broadcast,2,2,0,0,5e-06,4.9999999999999996e-06,8.687999999999999e-06,1,1
M1_same-quadrant_broadcast,3,0,0,0,2.5e-05,2.4999999999999998e-05,2.8655999999999995e-05,1,1
M1_same-quadrant_broadcast,3,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8719999999999997e-05,1,1
M1_same-quadrant_broadcast,3,2,0,0,5e-06,4.9999999999999996e-06,8.487999999999999e-06,1,1
M1_same-quadrant_broadcast,4,0,0,0,2.5e-05,2.4999999999999998e-05,2.8599999999999997e-05,1,1
M1_same-quadrant_broadcast,4,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8487999999999996e-05,1,1
M1_same-quadrant_broadcast,4,2,0,0,5e-06,4.9999999999999996e-06,8.567999999999998e-06,1,1
M1_same-quadrant_broadcast,5,0,0,0,2.5e-05,2.4999999999999998e-05,2.8471999999999994e-05,1,1
M1_same-quadrant_broadcast,5,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8439999999999996e-05,1,1
M1_same-quadrant_broadcast,5,2,0,0,5e-06,4.9999999999999996e-06,8.511999999999999e-06,1,1
M1_same-quadrant_broadcast,6,0,0,0,2.5e-05,2.4999999999999998e-05,2.8559999999999994e-05,1,1
M1_same-quadrant_broadcast,6,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8567999999999996e-05,1,1
M1_same-quadrant_broadcast,6,2,0,0,5e-06,4.9999999999999996e-06,8.663999999999999e-06,1,1
M1_same-quadrant_broadcast,7,0,0,0,2.5e-05,2.4999999999999998e-05,2.8575999999999995e-05,1,1
M1_same-quadrant_broadcast,7,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8424e-05,1,1
M1_same-quadrant_broadcast,7,2,0,0,5e-06,4.9999999999999996e-06,8.567999999999998e-06,1,1
M4_same-quadrant_broadcast,0,0,0,0,2.5e-05,2.4999999999999998e-05,2.8543999999999996e-05,1,1
M4_same-quadrant_broadcast,0,0,1,1,2.5e-05,2.4999999999999998e-05,2.9455999999999997e-05,1,1
M4_same-quadrant_broadcast,0,0,2,2,2.5e-05,2.4999999999999998e-05,2.8687999999999997e-05,1,1
M4_same-quadrant_broadcast,0,0,3,3,2.5e-05,2.4999999999999998e-05,2.9551999999999994e-05,1,1
M4_same-quadrant_broadcast,0,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8391999999999996e-05,1,1
M4_same-quadrant_broadcast,0,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9376e-05,1,1
M4_same-quadrant_broadcast,0,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8687999999999998e-05,1,1
M4_same-quadrant_broadcast,0,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9535999999999997e-05,1,1
