condition,trial,sample,neuron,physical_coordinate,ideal_input_s,nominal_input_s,first_spike_s,fired,spike_count
M1_same-quadrant_broadcast,0,0,0,0,2.5e-05,2.4999999999999998e-05,3.0474211957292463e-05,1,1
M1_same-quadrant_broadcast,0,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8402470922367526e-05,1,1
M1_same-quadrant_broadcast,0,2,0,0,5e-06,4.9999999999999996e-06,9.688059498880465e-06,1,1
M1_same-quadrant_broadcast,1,0,0,0,2.5e-05,2.4999999999999998e-05,2.992200588961659e-05,1,1
M1_same-quadrant_broadcast,1,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,2.0684046317337583e-05,1,1
M1_same-quadrant_broadcast,1,2,0,0,5e-06,4.9999999999999996e-06,1.0267674253537412e-05,1,1
M1_same-quadrant_broadcast,2,0,0,0,2.5e-05,2.4999999999999998e-05,3.0059892581838927e-05,1,1
M1_same-quadrant_broadcast,2,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,2.0620900618217813e-05,1,1
M1_same-quadrant_broadcast,2,2,0,0,5e-06,4.9999999999999996e-06,9.85021575110781e-06,1,1
M1_same-quadrant_broadcast,3,0,0,0,2.5e-05,2.4999999999999998e-05,3.0338920843531947e-05,1,1
M1_same-quadrant_broadcast,3,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.9585589206941334e-05,1,1
M1_same-quadrant_broadcast,3,2,0,0,5e-06,4.9999999999999996e-06,1.0601047304313231e-05,1,1
M1_same-quadrant_broadcast,4,0,0,0,2.5e-05,2.4999999999999998e-05,3.2178271029375845e-05,1,1
M1_same-quadrant_broadcast,4,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,2.0639703123298225e-05,1,1
M1_same-quadrant_broadcast,4,2,0,0,5e-06,4.9999999999999996e-06,9.934002846288174e-06,1,1
M1_same-quadrant_broadcast,5,0,0,0,2.5e-05,2.4999999999999998e-05,3.032955407015004e-05,1,1
M1_same-quadrant_broadcast,5,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,2.0884756960739033e-05,1,1
M1_same-quadrant_broadcast,5,2,0,0,5e-06,4.9999999999999996e-06,9.77348114577883e-06,1,1
M1_same-quadrant_broadcast,6,0,0,0,2.5e-05,2.4999999999999998e-05,3.0193811486688854e-05,1,1
M1_same-quadrant_broadcast,6,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.775593180398429e-05,1,1
M1_same-quadrant_broadcast,6,2,0,0,5e-06,4.9999999999999996e-06,9.180091667750619e-06,1,1
M1_same-quadrant_broadcast,7,0,0,0,2.5e-05,2.4999999999999998e-05,3.0570418612752786e-05,1,1
M1_same-quadrant_broadcast,7,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.9675981503417207e-05,1,1
M1_same-quadrant_broadcast,7,2,0,0,5e-06,4.9999999999999996e-06,1.0568325359818248e-05,1,1
M4_same-quadrant_broadcast,0,0,0,0,2.5e-05,2.4999999999999998e-05,2.79541880229727e-05,1,1
